Model,Best Params,Accuracy,Precision,Recall,F1
KNN,"{'clf__n_neighbors': 7, 'clf__weights': 'uniform'}",0.5584944048830112,0.398406374501992,0.26109660574412535,0.31545741324921134
Decision Tree,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 2}",0.595116988809766,0.39436619718309857,0.0731070496083551,0.12334801762114538
SVC,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.612410986775178,0.5208333333333334,0.06527415143603134,0.11600928074245939
Random Forest,"{'clf__max_depth': None, 'clf__n_estimators': 100}",0.6653102746693794,0.6588235294117647,0.2924281984334204,0.4050632911392405
